Orden,Club,Division,Total,Media,IbM1,IbM2,Lo1,Lo2,CC1,CC2,Ca1,Ca2,CEOL,CEOS,CEOM,IbF1,IbF2,5So1,5So2,5So3,5So4,Ma1,Ma2,Cu1,Cu2,Gr1,Gr2,Av1,Av2
21,ALCON,0,12103.89,504.33,854.69,813.07,0,0,299.25,297.03,94.1,88.91,1193.6,,1183.37,573.55,662.1,943.4,888.22,685.37,612.99,0,0,732.56,769.27,0,0,721.84,690.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CODAN EXTREMADURA,0,11282.95,470.12,820.52,757.48,61.8,0,140.65,140.52,408.89,346.11,960.48,,922.78,165.67,207.67,500.37,543.36,601.22,491.59,451.72,510.06,530.38,613.59,557.06,528.9,471.86,550.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,UEVIC,0,11240.96,468.37,0,0,576.6,748.09,677.79,704.3,407.2,427.81,726.43,,568.26,471.66,478.97,620.97,660.05,316.14,320.54,234.04,253.79,634.28,544.95,461.82,439.11,487.95,480.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,GOCAN,0,10773.58,448.9,732.75,729.22,467.84,405.61,516.51,534.83,179.72,138.35,600.78,,779.47,243.58,158.84,600.84,554.7,292.17,305.32,230.96,283.59,804.53,469.52,387.06,391.07,452.45,513.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ALABARDA-O,0,9842.4,410.1,272.86,401.84,77.77,161.74,745.15,818.06,354.01,292.57,678.45,,849.23,131.95,134,626.54,612.06,451.06,416.55,125.66,154.59,480.72,461.88,421.88,482.54,288.19,403.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FUNDI-O,1,17350.82,722.95,691.54,755.36,0,0,577.39,606.71,1074.49,1146.19,922.41,,863.06,0,0,769.03,853.98,812.32,719.95,1143.71,1272.42,874.07,774.06,1140.29,1009.53,657.05,687.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ORIENTIJOTE,1,11660.4,485.85,795.85,959.07,555.19,517.55,772.2,831.45,0,0,750.3,,746.35,252.04,249.02,427.08,489.09,458.54,450.86,62.62,97.18,595.84,711.78,464,549.58,469.55,455.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UNIVERSIDAD ALICANTE,1,11439.24,476.63,528.66,521,885.72,771.6,831.12,627.72,444.06,469.56,512.41,,552.12,169.7,197.85,465.23,516.62,354.88,281.74,410.38,513.74,425.32,488.31,519.91,357.23,369.98,224.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,LOS CALIFAS,1,10523,438.46,656.14,598.74,247.81,194.82,426.4,422.54,797.03,642.34,326.01,,322.38,227.69,225.45,425.74,480.27,375.84,356.26,484.65,581.03,575.56,526.76,689.94,497.92,208.18,233.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
