Orden,Club,Division,Total,Media,IbM1,IbM2,Lo1,Lo2,CC1,CC2,Ca1,Ca2,CEOL,CEOS,CEOM,IbF1,IbF2,5So1,5So2,5So3,5So4,Ma1,Ma2,Cu1,Cu2,Gr1,Gr2,Av1,Av2
21,CRO,3,2018.15,84.09,85.12,95.38,0,0,0,0,0,0,95.81,,90.01,0,0,196.7,167.41,43.97,153.93,85.06,100,171.41,171.68,85.15,84.58,204.31,187.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CALASPARRA-O,3,1971.71,82.15,0,0,357.11,281.01,489.71,418.11,0,0,0,,0,0,0,0,0,0,0,0,0,159.51,154.81,46.59,64.86,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FALCOTRAIL-O,3,1944.36,81.02,0,0,217.94,146.24,331.94,278.8,0,0,0,,0,0,0,70.37,69.19,91.27,68.9,122.38,159.96,141.09,112.4,64.03,69.85,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,FAICAMIÑO,3,1914.28,79.76,272.55,275.48,0,0,0,0,0,0,251.71,,218.8,0,0,169.53,156.35,275.24,294.62,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ZAMORA-O,3,1674.87,69.79,264.81,250.14,0,0,149.37,139.86,10,68.63,106.94,,162.35,0,0,0,0,0,0,0,0,158.71,146.98,65.27,57.29,20,74.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,HABELAS HAINAS,3,1670.2,69.59,157.4,209.25,0,0,0,0,0,0,277.03,,275.47,0,0,198.25,48.3,218.19,286.31,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,SARRIOS,3,1579.84,65.83,0,0,0,0,0,0,0,0,163.94,,267.6,0,0,377,411.17,182.88,177.25,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,APU-O,3,1578.42,65.77,50.95,20,98.13,94.68,89.6,93.63,173.07,81.51,103,,98.75,0,0,0,0,0,0,100,99.16,69.26,83.23,100,84.95,87.31,51.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,O-CHARLIES ORIENTA-T ,3,1551.21,64.63,0,0,81.6,81.6,72.43,81.6,0,0,95.65,,95.44,0,0,73.48,80,80,80,76.23,68.26,64.39,80,70.65,80,142.02,147.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,FARRA-O,3,1528.77,63.7,0,0,0,0,46.6,49.65,0,0,0,,0,0,0,246.75,252.44,275.84,239.76,0,0,223.78,193.95,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CCVALENCIA,3,1446.75,60.28,0,0,223.77,218.42,123.01,126.79,0,0,0,,63.17,0,0,0,0,0,0,0,0,408.14,283.45,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,IBERIA,3,1355.95,56.5,344.69,300.91,0,0,147.01,152.33,41.26,62.93,97.6,,114.44,0,0,94.78,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,C.D.C.E.B.E.,3,1283.83,53.49,180.21,222.2,0,0,0,0,0,0,151.8,,199.2,0,0,10,118.75,125.35,53.44,0,0,107.84,115.04,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ALCOI,3,1281.7,53.4,0,0,0,56.48,92.06,113.13,0,0,173.89,,180.47,0,0,71.28,70.07,82.78,87.28,0,0,183.21,171.05,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MALVARICHE-O,3,1049.01,43.71,0,0,309,125.37,296.68,317.96,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MK-O,3,1007,41.96,57.52,82.33,0,0,0,0,76.73,83.1,65.16,,83.6,0,0,67.79,88.06,79.81,74.29,0,0,58.51,80.4,0,0,52.84,56.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,CD ALTAI,3,941.22,39.22,45.21,75.11,0,0,0,0,0,0,134.51,,137.35,0,0,0,0,0,98.86,0,0,92.85,119.49,0,0,110.65,127.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,COCAN,3,894.55,37.27,0,0,0,0,0,0,0,0,217.61,,144.45,0,0,110.98,80,43.22,54.64,0,0,0,0,0,0,130.81,112.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,ALTAIR,3,780.46,32.52,133.98,86.02,0,0,0,0,74.89,61.11,0,,0,54.9,88.51,0,0,0,0,0,0,0,0,0,0,144.09,136.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,LOS ANGELES,3,760.89,31.7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,141.41,151.78,0,0,185.49,282.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ADYRON,3,648.14,27.01,0,0,10,97.26,0,0,100,90,69.53,,53.03,0,0,59.22,10,0,0,0,0,87.98,71.12,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ROBALIZA,3,606.79,25.28,0,0,0,0,0,0,0,0,142.79,,63.86,187.84,164.05,38.25,10,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,RAIDERMANIA,3,596.46,24.85,0,0,0,0,144.82,156.05,0,0,47.83,,38.27,0,0,0,0,0,0,0,0,59.28,52.68,66.06,31.47,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,COAraba,3,536.28,22.35,91.5,78.11,87.03,84.44,0,0,0,0,0,,0,0,0,0,10,0,0,0,0,88.27,96.93,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,O-RIENTATE,3,535.54,22.31,101.85,136.62,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,85.88,155.09,0,0,0,56.1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,UPC,3,518.91,21.62,0,0,0,0,0,0,0,0,76.32,,0,0,0,168.68,194.46,45.95,33.5,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,LOS PINOS,3,516.35,21.51,0,0,0,0,0,0,115.59,137.48,0,,0,0,0,0,0,0,0,0,263.28,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,COMELOBOS,3,514.31,21.43,93.69,91.77,0,0,0,0,0,0,0,,0,0,0,75.59,89.57,94.14,69.55,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,MONTAÑA FERROL,3,446.14,18.59,48.34,95.13,0,0,0,0,0,0,187.98,,114.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,SPOR-TI,3,414.65,17.28,0,0,85.87,165.07,10,67.51,0,0,10,,76.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,SKAPATE,3,404.23,16.84,0,0,0,0,0,0,0,0,0,,0,33.06,29.78,77.04,66.76,48.39,51.5,0,0,53.92,43.78,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,CIMA 2000,3,343.3,14.3,0,0,0,0,0,0,187.5,71.38,0,,0,0,0,0,0,0,0,0,0,0,0,84.42,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,SEO,3,283.32,11.81,0,0,0,0,0,0,0,0,69.53,,72.32,0,0,61.78,79.69,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,COM,3,274.26,11.43,0,0,69.3,55.15,54.51,42.87,0,0,42.43,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,O-CIUDAD REAL,3,270.01,11.25,64.29,70.39,78.31,57.02,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,CASTROPOL DEPORTE,3,269.84,11.24,79.42,63.45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,73.94,53.03,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,O-CARTAGENA,3,256.92,10.71,0,0,65.24,53.97,57.72,79.99,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,IBEROS,3,208.17,8.67,0,0,0,0,0,0,59.2,51.59,0,,0,0,0,0,0,0,0,0,0,0,0,51.56,45.82,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,AGM,3,161.37,6.72,0,0,0,0,0,0,0,0,78.49,,82.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,C.O.CO,3,160,6.67,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,NAVALCARNERO ORIENTA,3,155.96,6.5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,80.94,75.02,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,BUDIÑORAID,3,148.19,6.17,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,72.53,75.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,YELMO-O,3,103.47,4.31,0,0,0,0,0,0,0,0,0,,103.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,CC LA MOLAERA,3,96.98,4.04,0,0,45.84,0,51.14,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,YECLA,3,81.89,3.41,0,0,0,0,0,81.89,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,UVALENCIA,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,A PEDROSA ORRO,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,UBRIQUE-O,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,ALTERA,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,ALHAMA-O,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,RAID CALAMOCHA,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,CORNELIOS,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,MERIDIANO RAID,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,BOM,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,NEMUS,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,ADVENTURE ADDICTS,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,ALCOR,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,CMG,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,JARNACHAS,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,NORTE-SUR,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,O-ADEMA,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,RANDOBIKE,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,C.E. ELDENSE,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ORIENTAGC,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,ADVENTURE BIKE HELLIN,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,ADN RAIDERSUR,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,BOADILLA,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,CAMBATE,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,CD LA LEGION,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,CM MULA,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,IES SABON,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,ITACA,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,NATHOO,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,NEOAKTIVO,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,ORIENTE,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PALESTRA,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PORTIXOL-O,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,SUN-O,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,SUNO-AND,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,TEAM SPORT SPIRIT,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,LIMONIUM,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PIRINEOS,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,LA GLORIETA,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,BOADILLA,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,DIABLILLOS,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,SAN ROQUE,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,CC LA ALCAYNA,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,O-DIMONIS,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,VERTICES GEODESICOS,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,CMB-O,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,CM NOROESTE,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
