Orden,Club,Division,Total,Media,CB1,CB2,Ca1,Ca2,J1,J2,CC1,CC2,CEOL,CEOS,CEOM,Por1,Por2,Mo1,Mo2,Pa1,Pa2,S1,S2,Ib1,Ib2,Bi1,Bi2
23,E D ALCON,1,8115.22,368.87,245.41,10,179.75,179.79,0,0,404.94,418.03,841.96,,1034.55,485.34,394.12,0,0,806.27,796.95,470.28,524.3,426.18,456.3,254.25,186.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MURCIA-O,1,6840.23,310.92,582.96,10,79.27,145.43,224.02,271.44,657.37,623.99,512.28,,498.32,170.54,178.3,251.98,242.07,306.62,325.82,286.52,220.12,388.46,367.94,249.63,247.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,UPV-O,1,2453.85,111.54,281.85,0,0,0,159.48,255.9,325.66,351.85,228.82,,266.3,0,0,0,0,97.88,75.83,146.13,128.41,135.74,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SANT JOAN,2,14010.71,636.85,985.43,10,708.1,882.08,906.89,868.96,950.55,1064.92,886.21,,845.88,264.18,328.2,526.07,470.41,83.72,100,598.06,487.51,1061.44,948.6,532.25,501.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GOCAN,2,10977.41,494.48,640.54,20,258.46,193.34,449.42,643.63,855.11,817.3,868.9,,1064.58,473.21,505.96,107.06,215.57,543.17,497.36,649.57,790.8,Or,Or,137.49,158.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MANZANARES-O,2,8558.18,389.01,660.2,0,259.59,328.1,602.73,564.6,484.3,476.49,814.02,,920.33,285.12,238.08,0,0,311.32,300.26,313.97,323.37,676.32,531.59,211.08,256.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,FUNDI-O,2,8163.64,371.07,318.75,0,662.27,753.66,547.61,732.96,263.25,273.3,852.86,,947.49,0,0,877.87,954.59,0,0,0,0,257.66,235.35,239.98,246.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TJALVE,2,8077.47,367.16,438.79,0,185.45,140.1,259.67,339.64,0,0,691.18,,616.24,447.71,522.96,285.39,188.36,567.27,697.97,467.87,655.47,431.71,331.88,309.47,500.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,LOS CALIFAS,2,7343.09,333.78,278.06,20,440.83,544.41,560.74,410.72,359.98,372.11,502.88,,478.78,0,0,615.28,839.99,0,0,222.97,254.95,544.06,451.01,218.84,227.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MONTE EL PARDO,2,6654.26,302.47,211.01,0,87.35,137.54,0,0,195.73,191.22,779.92,,733.43,0,0,0,0,563.14,548.67,638.48,572.83,713.06,624.6,308.02,349.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,IBÓN,2,6080.21,276.37,189.27,0,69.94,142.03,0,0,232,243.33,849.55,,879.35,141.78,131.17,0,0,493.19,502.88,440.68,322.49,466.47,557.39,206.47,212.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,COBI,2,5956.19,268.3,0,0,83.82,73.17,0,0,0,0,710.64,,633.3,0,0,0,0,923,889.47,698.74,720.79,292.81,340.19,Or,Or
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CORRECAMINOS,2,5863.34,266.52,599.9,10,0,0,297.87,277.3,623.21,545.49,667.12,,676.66,112,179.18,58.91,61.38,132.78,124.26,253.28,216.03,278.88,314.7,198.82,235.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,LA BRÚJULA - JAIRE,2,4606.68,209.39,0,0,0,0,0,0,0,0,682.89,,687.45,0,0,58.82,88.31,744.18,720.49,227.58,67.44,0,0,682.28,647.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,OROS,2,4558.39,207.2,342.5,0,191.87,227.04,160.83,149.58,119.19,132.95,652.56,,702.42,0,0,0,0,131.05,125.01,258.31,238.28,241.82,327.62,280.52,276.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MAXIMUS,2,4399.39,199.97,223.82,0,108.04,159.25,258.27,245.81,167.63,183.21,167.12,,159.35,262.85,266.75,173.02,174.68,274.48,262.26,272.62,286.71,282.79,182.61,97.52,190.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,O-SAN ROQUE,2,4336.43,197.11,294.15,0,257.22,272.5,232.42,267.96,291.86,216.44,283.07,,295.77,152.18,149.53,202.36,225.23,194.5,184.31,140.73,136.82,257.06,282.32,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SENDA,2,4097.56,186.25,398.09,10,214.96,225.37,140.14,123.98,450.54,393.65,381.31,,412.72,72.13,81.6,80,80,0,0,67.95,65.7,303.08,336.48,135.7,124.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ALIGOTS,2,4034.2,183.37,77.38,0,347.01,345.92,0,0,0,0,662.53,,598.37,0,0,83.03,82.76,84.96,96.16,523.89,617.7,84.35,76.3,156.3,197.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ORIENTA-GETAFE,2,3929.75,178.63,108.98,0,0,0,398.46,354.85,112.4,126.18,267.94,,407.25,0,0,162.25,128.8,0,0,289.98,340.79,487.98,465.42,99.94,178.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,O-CIUDAD REAL,2,3799.4,172.7,381.86,10,0,0,460.89,461.36,323.7,318.77,520.74,,641.01,0,0,121.19,115.94,0,0,0,0,263.18,180.76,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BADALONA-O,2,3765.13,171.14,501.12,0,0,0,0,0,403.92,425.04,579.16,,789.9,127.5,124.99,0,0,0,0,413.94,399.56,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,UVALENCIA,2,3506.34,159.38,245.35,0,231.81,183.82,156.75,198.23,176.56,122.65,305.62,,412.96,0,0,121.3,158.94,0,0,119.72,183.83,207.66,210.96,230.84,239.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,SURCO,2,3139.48,142.7,146.62,10,73.05,141.57,257.14,273.18,497.41,423.87,143.67,,163.29,0,0,250.08,231.26,64.04,68.94,66.68,71.1,122.52,135.06,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MONTSANT,2,2949.04,134.05,440.36,10,0,0,311.39,291.37,0,0,443.72,,589.73,0,0,0,0,0,0,142.07,144.6,0,0,232.04,343.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,VÍA DE LA PLATA,2,2579.86,117.27,58.44,10,181.32,230.34,0,0,76.62,75.39,341.51,,343.18,30,184.19,0,0,0,0,127.71,205.04,179.28,219.51,156.09,161.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,COB,2,2570.91,116.86,77.59,0,283.88,261.69,0,0,102,102,431.73,,459.05,0,0,0,0,0,0,264.77,266.29,0,0,153.45,168.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,COHU,2,1218.31,55.38,0,0,153.21,182.13,157.58,166.62,0,0,230.7,,238.84,0,0,0,0,10,79.23,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ORCA,3,6527.79,296.72,149.02,0,0,0,0,0,163.92,169.35,819.42,,685.65,169.26,235.25,0,0,412.1,569.04,764.29,935.59,93.06,98.92,612.61,650.31
